Sample1	F1	F2	F3	F4	F5	F6
920.0148926	-0.001104236	0.001774557	-0.006093884	0.000502478	3.20E-05	0.001356937
918.9631958	-0.001232957	0.002627072	-0.005812453	0.000345482	3.49E-05	0.001476272
918.0424194	-0.001504266	0.003265726	-0.005923903	0.000120076	-7.94E-05	0.001457052
916.989624	-0.001401635	0.004599093	-0.005695711	0.000135094	6.82E-05	0.001400434
915.9362793	-0.001750449	0.005592903	-0.005496539	0.000168809	-6.58E-05	0.001493259
915.0140991	-0.001706979	0.00674311	-0.005405023	1.33E-05	-1.62E-05	0.001401863
913.9597168	-0.000953937	0.00833822	-0.00482762	0.000375638	0.000217548	0.001787164
913.0366211	-0.001191087	0.009998435	-0.004699755	0.00064885	0.000429091	0.001710804
911.9811401	-0.000753559	0.011205194	-0.004439968	0.0005976	0.000314162	0.001737676
911.0571289	-0.001871401	0.012302683	-0.004475172	2.56E-05	-0.000327024	0.001119534
910.0006104	-0.000968349	0.014775089	-0.003651047	0.000427717	0.000669979	0.001908098
908.9435425	-0.001232286	0.01615539	-0.00339998	0.000519376	0.000429712	0.001665847
908.0181274	-0.001639263	0.018049719	-0.003205354	0.000710218	0.000430879	0.001445156
906.9599609	-0.001083373	0.020556893	-0.002680229	0.00118385	0.000574738	0.001921749
906.0336304	-0.001232854	0.022013178	-0.002769595	0.000357866	0.000255026	0.00151578
904.9744873	-0.001383315	0.024095027	-0.002487699	0.000540369	0.000366311	0.001679983
904.0472412	-0.001627762	0.025981208	-0.002367228	0.000397739	0.000177744	0.001690923
902.9869995	-0.001269713	0.028735412	-0.001720335	0.000509217	0.00035056	0.001650074
902.0588379	-0.001046705	0.030991575	-0.001361485	0.000455107	0.000292688	0.001541498
900.9975586	-0.001246741	0.033867188	-0.000678717	0.000675216	0.000412508	0.001719718
899.93573	-0.0014037	0.035902459	-0.000267165	0.000329058	0.000502012	0.001656518
899.0061646	-0.000655766	0.038345646	0.000474257	0.000464176	0.000562037	0.001946892
897.9432983	-0.001375626	0.040457182	0.00023718	0.000519972	6.30E-05	0.001531497
897.0128174	-0.001150091	0.042551395	0.000572042	0.000701558	0.00052106	0.001720783
895.9489136	-0.001408705	0.045097996	0.001041735	0.000466871	0.000359653	0.00167424
895.0175171	-0.000874634	0.047470413	0.001641785	0.000948825	0.000700288	0.001815705
893.9525757	-0.001395443	0.05016287	0.001740561	0.000419944	0.000547004	0.001286702
893.0203247	-0.001047377	0.052633464	0.002087899	0.001184369	0.000400097	0.001919461
891.9543457	-0.001085542	0.054795094	0.002652777	0.000751161	0.000629459	0.001898895
891.0211182	-0.001223664	0.057179298	0.003355455	0.000410409	0.000360534	0.001755818
889.9541016	-0.001042315	0.05966812	0.003399074	0.000774033	0.000753676	0.001629313
889.0200195	-0.000600243	0.061699629	0.004432581	0.000959643	0.001081853	0.00238559
887.9520264	-0.001121587	0.062995858	0.00411169	0.001062234	0.000649991	0.001886727
887.0170288	-0.001033638	0.064876996	0.004987059	0.001205498	0.00122816	0.002127099
885.947937	-0.000541042	0.066428736	0.005532415	0.001066023	0.001328167	0.002272849
885.012085	-0.000831799	0.067512684	0.005383706	0.000961666	0.001118938	0.001934541
883.9420166	-0.001030952	0.06837558	0.005700005	0.001009197	0.001352549	0.001871388
883.005249	-0.000822343	0.069295339	0.005855958	0.000971214	0.001393007	0.002012111
881.934082	-0.000717484	0.070057109	0.005927697	0.001066075	0.001397058	0.0020744
880.99646	-0.000768289	0.070125163	0.005843496	0.000897721	0.00146861	0.001972843
880.0583496	-0.000844045	0.07052841	0.006005616	0.001349018	0.001449026	0.002354097
878.9857788	-0.000474076	0.070611641	0.00581217	0.001388385	0.001558956	0.002237747
878.046814	-0.000832368	0.07023938	0.005469234	0.001246202	0.00145822	0.001939794
876.9731445	-0.001304555	0.069708757	0.004946422	0.000453137	0.000608073	0.001346421
876.0333252	-0.000637207	0.069313832	0.005638557	0.001517911	0.001413004	0.002373331
874.9586792	-0.000539336	0.068855405	0.005632657	0.001520015	0.001510663	0.002481021
874.0179443	-0.000908217	0.06750425	0.004848197	0.001256016	0.00088527	0.002151422
872.9423218	-0.000451062	0.066912085	0.004641294	0.00112514	0.001121377	0.002299288
872.0006714	-0.000785033	0.065751351	0.004892411	0.00114541	0.001114292	0.002453894
871.0585938	-0.000744773	0.064793535	0.004794511	0.000789618	0.000955855	0.002285314
869.9815063	-0.000958328	0.062759198	0.004274419	0.000928823	0.000616264	0.002115914
869.0385742	-0.00078989	0.062012292	0.004120104	0.00185176	0.001302852	0.002430882
867.9604492	-0.000736607	0.060152236	0.003565634	0.00149526	0.001061638	0.002013385
867.0166626	-0.001407002	0.058026116	0.00286861	0.000252125	6.14E-05	0.001876822
865.9375	-0.000436942	0.056720488	0.003247626	0.001337255	0.001116498	0.002509165
864.9928589	-0.001188506	0.054959022	0.002734148	0.00077647	0.000875776	0.002115029
864.0477905	-0.001136614	0.053083058	0.002039808	0.000656083	0.000602137	0.001841128
862.9671631	-0.00127854	0.051517624	0.00256098	0.001263596	0.001096048	0.002086157
862.0212402	-0.001054091	0.050284512	0.002135319	0.001173571	0.001054527	0.002462615
860.9396362	-0.002316456	0.047548298	0.001083124	0.000334213	0.000565873	0.001302229
859.9927979	-0.000965043	0.046831831	0.001407966	0.001083565	0.00059786	0.001946528
859.0455322	-0.001885731	0.04501874	0.00076436	0.000493719	0.000211074	0.001653738
857.9625244	-0.000668327	0.044130057	0.001206251	0.001447338	0.001412329	0.002156625
857.0144043	-0.001315601	0.041702017	9.04E-05	0.000867191	0.000333436	0.001355743
856.065918	-0.002092027	0.040168568	-9.90E-05	0.00044057	0.000283233	0.001579739
854.9813843	-0.000872412	0.039518483	0.000441425	0.001814717	0.001412147	0.002518668
854.0319824	-0.00173137	0.037423994	-0.000460991	0.000733269	0.000195846	0.001675825
852.9465332	-0.000923509	0.036373757	-0.000395254	0.000845611	0.000766824	0.00194905
851.9962769	-0.000980385	0.035539147	-0.000531528	0.001561008	0.001200541	0.002254166
851.0456543	-0.001593719	0.034190848	-0.001133051	0.000910457	0.000729043	0.002204573
849.9586792	-0.001419387	0.032610897	-0.001303368	0.000696062	0.00057746	0.001904277
849.0072021	-0.001564109	0.032033712	-0.000918601	0.001390644	0.001308304	0.002313445
848.0552979	-0.001595937	0.030789288	-0.001053523	0.000751031	0.001130798	0.002203715
846.9669189	-0.001976652	0.028572075	-0.001696098	0.000218766	0.00029147	0.001279381
846.0141602	-0.001359162	0.027954759	-0.002022053	0.00104215	0.000686987	0.001928665
845.0610352	-0.000775214	0.027181568	-0.001708371	0.001935217	0.001063065	0.002547726
843.9711914	-0.001251903	0.026040161	-0.001749521	0.00162157	0.000885815	0.002165132
843.0172119	-0.001151588	0.02481658	-0.002552349	0.001140297	0.000535626	0.001755947
842.0628052	-0.001525883	0.023936188	-0.003075829	0.000565329	0.000528628	0.001693392
840.9715576	-0.000903102	0.023411715	-0.002277059	0.001422535	0.001177958	0.002234052
840.0162964	-0.001340582	0.022060892	-0.00304812	0.001035819	0.000657302	0.001603954
839.0606079	-0.001264086	0.02127593	-0.002657486	0.001389813	0.000903661	0.002183369
837.9679565	-0.001452979	0.019859882	-0.00366845	0.000522849	0.000703062	0.001908827
837.0114746	-0.000850401	0.019534891	-0.003330474	0.001487571	0.000687454	0.002046752
836.0545654	-0.000820276	0.018601038	-0.003914898	0.001267335	0.00072995	0.001819162
834.9604492	-0.000974393	0.017503088	-0.00419151	0.00123491	0.000284088	0.001453
834.0027466	-0.001058377	0.016948881	-0.004059202	0.001306876	0.000854715	0.002181002
833.0445557	-0.001115236	0.016435785	-0.004086231	0.001271333	0.000896605	0.001946216
831.9490967	-0.000500346	0.016203888	-0.003916899	0.001946112	0.001099344	0.002030992
830.9901123	-0.001285973	0.015197402	-0.004476555	0.001077623	0.000703736	0.001966836
830.0307007	-0.000965146	0.014750156	-0.004274362	0.001543992	0.001008912	0.002045634
828.9338379	-0.000149026	0.014537386	-0.004106489	0.001930979	0.001321831	0.002346471
827.9736328	-0.000687866	0.013726643	-0.004529587	0.001565009	0.000907189	0.001947178
827.0130005	-0.000595331	0.013446604	-0.004752452	0.001372025	0.000755855	0.002119946
826.052002	-0.000639585	0.012982966	-0.00456965	0.001627572	0.001127658	0.002118593
824.9532471	-0.000456078	0.012391262	-0.00469489	0.001777442	0.001053022	0.00213186
